               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09742,            0.046997,            0.050812,             0.61823,            0.095705,            0.033597,           0.0097834,            0.076987,             0.02903,            0.027536,               0.073,               0.003,               0.003
                   1,             0.06879,            0.037979,            0.027045,             0.86116,             0.19751,             0.25296,            0.099465,            0.068773,            0.025557,            0.012981,             0.04504,           0.0060396,           0.0060396
                   2,            0.075064,            0.029512,            0.019009,             0.86882,             0.29759,             0.44252,             0.17621,            0.061737,             0.01888,            0.010208,            0.017018,           0.0090178,           0.0090178
                   3,            0.070017,            0.028489,            0.017286,             0.62133,             0.59411,             0.49003,             0.23558,               0.059,            0.018846,           0.0081192,            0.009703,            0.009703,            0.009703
                   4,            0.059367,            0.026867,            0.015196,             0.55464,             0.60883,             0.48902,             0.23689,            0.062916,            0.017698,           0.0072322,            0.009703,            0.009703,            0.009703
                   5,            0.053058,            0.023873,            0.014397,             0.71029,             0.64437,             0.63088,             0.33907,            0.047296,            0.016608,            0.006343,            0.009604,            0.009604,            0.009604
                   6,            0.046851,            0.025335,            0.011658,             0.82512,             0.63405,             0.67503,             0.39164,            0.035297,            0.014853,           0.0051846,            0.009505,            0.009505,            0.009505
                   7,             0.04244,            0.021993,            0.010948,             0.79614,             0.66748,             0.69274,             0.33784,            0.038318,             0.01436,           0.0047006,            0.009406,            0.009406,            0.009406
                   8,            0.040941,             0.02179,           0.0097565,             0.80138,             0.63454,             0.68481,              0.4409,            0.034322,            0.013647,            0.005325,            0.009307,            0.009307,            0.009307
                   9,            0.038305,            0.021027,           0.0090564,             0.96575,             0.67242,             0.81317,             0.57208,            0.028989,            0.013361,           0.0047128,            0.009208,            0.009208,            0.009208
                  10,             0.03575,            0.021043,           0.0082494,             0.92341,             0.67745,             0.73112,             0.50051,            0.027789,            0.013005,           0.0043394,            0.009109,            0.009109,            0.009109
                  11,            0.034001,            0.020566,           0.0074436,             0.80715,             0.69961,             0.75402,              0.5075,            0.031227,             0.01365,           0.0043114,             0.00901,             0.00901,             0.00901
                  12,            0.033998,            0.020071,           0.0070355,              0.9523,               0.702,             0.86322,             0.61993,            0.027461,            0.012672,           0.0041284,            0.008911,            0.008911,            0.008911
                  13,            0.032133,            0.020289,           0.0063443,             0.62625,             0.85714,             0.83536,             0.59894,            0.028773,            0.012512,           0.0037086,            0.008812,            0.008812,            0.008812
                  14,            0.032671,            0.019503,           0.0063689,             0.67141,             0.84301,             0.85812,             0.53895,            0.026148,            0.012723,           0.0041316,            0.008713,            0.008713,            0.008713
                  15,            0.031552,             0.01909,           0.0062527,             0.84199,             0.85615,             0.85859,             0.60723,            0.024422,            0.012463,           0.0038146,            0.008614,            0.008614,            0.008614
                  16,            0.030264,             0.01997,           0.0053618,             0.92963,             0.85414,             0.86876,             0.62891,              0.0221,            0.011686,           0.0034148,            0.008515,            0.008515,            0.008515
                  17,            0.029177,            0.018713,           0.0050293,             0.92424,             0.84633,              0.8869,             0.63919,            0.022461,             0.01208,           0.0032528,            0.008416,            0.008416,            0.008416
                  18,            0.028788,            0.017529,           0.0053995,             0.90591,             0.85648,              0.8915,             0.67161,             0.02345,            0.011892,           0.0033467,            0.008317,            0.008317,            0.008317
                  19,            0.027675,            0.018733,           0.0050583,             0.91209,             0.85517,             0.91095,             0.69593,             0.02055,            0.011187,           0.0030063,            0.008218,            0.008218,            0.008218
                  20,            0.028253,            0.018512,           0.0044122,             0.95954,              0.8539,             0.88763,             0.70546,            0.022164,            0.011407,           0.0030692,            0.008119,            0.008119,            0.008119
                  21,            0.027333,            0.018358,           0.0045915,             0.93419,             0.85596,             0.93056,             0.70022,            0.021892,            0.011305,           0.0031019,             0.00802,             0.00802,             0.00802
                  22,            0.027053,            0.018722,           0.0045148,             0.81193,             0.89286,             0.92475,             0.74738,            0.022463,            0.011221,           0.0028756,            0.007921,            0.007921,            0.007921
                  23,            0.026448,             0.01862,           0.0039621,             0.91085,              0.9492,             0.97709,             0.79034,            0.020216,            0.011019,           0.0028618,            0.007822,            0.007822,            0.007822
                  24,            0.025571,            0.017128,           0.0039812,             0.88037,             0.96429,             0.98339,              0.8126,            0.015402,            0.010433,           0.0027153,            0.007723,            0.007723,            0.007723
                  25,            0.025685,            0.016979,           0.0039695,             0.89595,             0.96429,             0.97798,             0.71425,            0.020827,             0.01076,           0.0026783,            0.007624,            0.007624,            0.007624
                  26,            0.024475,            0.016736,           0.0040205,             0.86362,             0.96363,             0.97873,             0.76842,            0.018442,            0.010545,           0.0025779,            0.007525,            0.007525,            0.007525
                  27,            0.025036,            0.017307,            0.003984,             0.93435,             0.99579,             0.99134,             0.79431,             0.01865,             0.01041,           0.0023682,            0.007426,            0.007426,            0.007426
                  28,            0.024723,            0.017639,           0.0036413,              0.9336,             0.99934,             0.98957,             0.77883,            0.020243,            0.010607,           0.0023976,            0.007327,            0.007327,            0.007327
                  29,            0.024036,            0.015716,           0.0033223,             0.93829,             0.99367,             0.99141,             0.83079,             0.01719,            0.010369,           0.0022305,            0.007228,            0.007228,            0.007228
                  30,             0.02354,            0.016706,           0.0033164,             0.89027,                   1,             0.98918,             0.78872,            0.018561,            0.010412,           0.0023801,            0.007129,            0.007129,            0.007129
                  31,            0.023066,            0.017319,           0.0034326,             0.93995,             0.99482,             0.99015,             0.76943,            0.016091,           0.0098613,           0.0022954,             0.00703,             0.00703,             0.00703
                  32,             0.02338,            0.016245,           0.0031789,             0.92886,             0.95249,             0.98449,             0.81648,            0.019254,            0.010115,           0.0021053,            0.006931,            0.006931,            0.006931
