               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11431,            0.045481,            0.059582,          0.00015044,             0.10766,          0.00011749,          3.4599e-05,             0.11012,            0.031006,            0.055822,               0.073,               0.003,               0.003
                   1,             0.11429,            0.043897,             0.06021,          6.7803e-05,            0.083851,          0.00010888,          3.3302e-05,             0.10973,            0.031197,            0.055771,             0.04504,           0.0060396,           0.0060396
                   2,             0.11196,            0.044611,            0.057013,          0.00033619,            0.035659,           0.0012981,          0.00033414,             0.10918,            0.031232,            0.055916,            0.017018,           0.0090178,           0.0090178
                   3,             0.10832,            0.046219,            0.050644,             0.43343,            0.004329,           0.0011535,          0.00035482,             0.10886,            0.032826,            0.055706,            0.009703,            0.009703,            0.009703
                   4,             0.10276,            0.047979,            0.047827,          0.00074926,             0.10682,           0.0011885,          0.00027967,                 nan,                 nan,             0.13347,            0.009703,            0.009703,            0.009703
                   5,             0.10063,            0.048176,            0.041128,          0.00080871,             0.12439,           0.0014104,          0.00036788,                 nan,                 nan,             0.23548,            0.009604,            0.009604,            0.009604
                   6,             0.10119,            0.043177,            0.035036,                   0,                   0,                   0,                   0,                 nan,                 nan,               19.74,            0.009505,            0.009505,            0.009505
                   7,            0.097586,            0.046737,            0.030698,          0.00087873,            0.082949,          0.00091323,          0.00027082,             0.11613,            0.060461,             0.15706,            0.009406,            0.009406,            0.009406
                   8,            0.092359,            0.047823,            0.029923,          0.00080258,            0.063985,          0.00079924,          0.00017544,             0.11391,            0.032602,             0.32136,            0.009307,            0.009307,            0.009307
                   9,            0.092699,            0.045156,            0.026818,          0.00068895,             0.10204,          0.00074322,          0.00020607,            0.089736,            0.052941,             0.13264,            0.009208,            0.009208,            0.009208
