               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11362,            0.046737,            0.063756,          0.00012534,             0.19048,           0.0001484,          3.5474e-05,             0.11034,             0.02919,            0.055798,              0.0973,              0.0003,              0.0003
                   1,             0.11363,            0.047323,            0.065159,          0.00038694,             0.19969,          0.00030413,          7.9079e-05,             0.10879,            0.029475,            0.055585,            0.093693,          0.00069307,          0.00069307
                   2,             0.10928,            0.047125,            0.060884,          0.00010027,            0.095238,          0.00093947,          0.00028207,             0.10464,            0.030223,            0.055147,            0.090078,           0.0010782,           0.0010782
                   3,             0.10301,            0.050094,            0.057317,          0.00025694,            0.064935,          0.00099077,          0.00027361,            0.097854,            0.031301,            0.054495,            0.086455,           0.0014555,           0.0014555
                   4,            0.097409,            0.051964,            0.056281,          0.00026721,            0.067532,           0.0012189,          0.00026045,            0.089278,            0.033384,            0.053812,            0.082825,           0.0018248,           0.0018248
                   5,            0.090946,            0.054326,            0.054916,          0.00027064,            0.068398,           0.0012271,          0.00027189,            0.081175,            0.034836,            0.052893,            0.079186,           0.0021861,           0.0021861
                   6,            0.088383,            0.052201,              0.0541,          0.00043165,            0.082949,          0.00035889,           0.0001164,            0.075507,            0.036394,            0.051942,             0.07554,           0.0025396,           0.0025396
                   7,            0.087083,            0.053863,            0.052885,          0.00044536,            0.085583,          0.00037831,          0.00011439,            0.072269,            0.037083,            0.050917,            0.071885,           0.0028852,           0.0028852
                   8,            0.084556,              0.0575,            0.051584,          0.00043851,            0.084266,          0.00035668,          0.00011092,            0.070483,            0.037399,            0.049817,            0.068223,           0.0032228,           0.0032228
                   9,            0.083649,            0.054255,            0.050733,          0.00047276,            0.090849,          0.00041988,          0.00013202,            0.069435,            0.037355,            0.048749,            0.064553,           0.0035525,           0.0035525
                  10,            0.082745,            0.054734,            0.048793,          0.00048647,            0.093483,          0.00042987,          0.00013272,            0.068923,            0.037672,            0.047531,            0.060874,           0.0038743,           0.0038743
                  11,            0.083319,            0.057826,              0.0462,          0.00046934,            0.090191,          0.00040302,          0.00012523,            0.069048,            0.037807,            0.046378,            0.057188,           0.0041882,           0.0041882
                  12,            0.080947,            0.052986,            0.043297,          0.00046249,            0.088874,          0.00041507,          0.00012659,             0.06887,            0.037991,            0.045427,            0.053494,           0.0044941,           0.0044941
