                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.444,                 4.7361,                 4.3173,                0.00271,                0.13005,                0.00312,                0.00072,                  3.175,                 4.4278,                 4.1117,                  0.073,                  0.003,                  0.003
                      1,                 3.3891,                 4.3587,                  4.162,                0.00037,                0.09123,                 0.0004,                  7e-05,                 3.1476,                 4.3411,                 4.0642,                0.04504,              0.0060396,              0.0060396
                      2,                 3.2432,                 4.0127,                 4.0248,                0.00032,                0.13087,                0.00049,                  8e-05,                 3.1079,                 4.4053,                 4.0178,               0.017018,              0.0090178,              0.0090178
                      3,                  3.025,                 3.8434,                 3.7945,                0.59734,                0.03203,                0.01957,                0.00469,                 3.0917,                 4.1155,                 4.0802,               0.009703,               0.009703,               0.009703
                      4,                 2.7955,                 3.5122,                 3.5785,                0.90531,                0.07619,                0.04224,                0.00976,                 2.9101,                 8.7129,                 4.5355,               0.009703,               0.009703,               0.009703
                      5,                 2.6961,                 3.3343,                 3.4101,                0.54153,                0.22073,                0.07564,                0.02253,                 2.3717,                 19.803,                 3.7728,               0.009604,               0.009604,               0.009604
                      6,                 2.6079,                 3.1435,                 3.2925,                0.69333,                0.07406,                0.10463,                  0.034,                 2.1745,                 3.7338,                 3.1324,               0.009505,               0.009505,               0.009505
                      7,                 2.4601,                 2.8645,                 3.0572,                0.69594,                0.15385,                0.08142,                0.03574,                 2.6448,                 3.9999,                 3.3063,               0.009406,               0.009406,               0.009406
                      8,                 2.2745,                 2.5598,                 2.8505,                0.52589,                0.38142,                0.27849,                 0.1452,                 1.8484,                 2.3467,                 2.7252,               0.009307,               0.009307,               0.009307
                      9,                 2.1867,                  2.433,                  2.704,                0.56844,                0.45575,                0.31917,                0.15655,                 1.9296,                 2.7127,                 2.7258,               0.009208,               0.009208,               0.009208
                     10,                 2.0927,                 2.3543,                 2.6435,                0.70234,                 0.2374,                0.24689,                 0.1399,                 1.8176,                 2.4585,                  2.533,               0.009109,               0.009109,               0.009109
                     11,                 1.9533,                 2.0939,                 2.4782,                0.60973,                0.47448,                0.44336,                0.22527,                 1.6019,                  1.607,                 2.3252,                0.00901,                0.00901,                0.00901
                     12,                 1.8467,                 1.9942,                 2.3719,                0.75071,                0.36881,                 0.4466,                0.24028,                 1.6263,                 1.7637,                 2.2723,               0.008911,               0.008911,               0.008911
                     13,                 1.8024,                 1.9331,                 2.3166,                 0.7064,                0.46684,                 0.4844,                0.27272,                 1.4974,                 1.4731,                 2.2086,               0.008812,               0.008812,               0.008812
                     14,                 1.6995,                 1.7868,                 2.2339,                0.67686,                0.50514,                0.47269,                0.24147,                 1.6867,                 1.6801,                 2.3547,               0.008713,               0.008713,               0.008713
                     15,                 1.7005,                 1.7848,                 2.2279,                0.65499,                0.45867,                 0.4332,                0.24882,                    1.5,                 3.3446,                 2.2894,               0.008614,               0.008614,               0.008614
                     16,                 1.6497,                  1.685,                  2.152,                0.70538,                0.47779,                0.62504,                0.37716,                 1.3304,                 1.3938,                 2.0921,               0.008515,               0.008515,               0.008515
                     17,                 1.5349,                 1.5661,                 2.0649,                0.72215,                0.50993,                0.56568,                0.32076,                 1.3022,                 1.2529,                 2.0129,               0.008416,               0.008416,               0.008416
                     18,                 1.5283,                 1.6476,                 2.0884,                0.78396,                0.44386,                0.53671,                0.31708,                 1.5478,                 1.7237,                 2.2788,               0.008317,               0.008317,               0.008317
                     19,                 1.5029,                 1.5789,                 2.0385,                0.78276,                0.56699,                0.58294,                0.35155,                 1.2993,                 1.2108,                 1.9733,               0.008218,               0.008218,               0.008218
                     20,                 1.3986,                 1.3878,                 1.9376,                0.79786,                0.59941,                0.64564,                0.40681,                 1.1787,                 1.0441,                 1.8798,               0.008119,               0.008119,               0.008119
                     21,                 1.3414,                 1.3497,                 1.8515,                0.83511,                0.55649,                0.74028,                0.46959,                 1.0904,                 1.0248,                 1.7765,                0.00802,                0.00802,                0.00802
                     22,                 1.3837,                 1.4051,                 1.9322,                0.68444,                0.52321,                0.57757,                0.38728,                 1.1443,                 1.1117,                 1.7975,               0.007921,               0.007921,               0.007921
                     23,                 1.3232,                 1.3549,                 1.8808,                 0.8028,                0.54282,                0.74172,                 0.4521,                 1.0608,                 1.0298,                 1.7446,               0.007822,               0.007822,               0.007822
                     24,                 1.2531,                 1.2255,                 1.7729,                0.85222,                0.52551,                0.66279,                0.44878,                  1.005,                  0.955,                  1.645,               0.007723,               0.007723,               0.007723
                     25,                  1.216,                 1.1842,                 1.7139,                0.85823,                0.57654,                0.67225,                0.45854,                0.96997,                0.99367,                 1.6394,               0.007624,               0.007624,               0.007624
                     26,                 1.2061,                 1.1507,                 1.7203,                0.85626,                0.64365,                0.71624,                0.50537,                0.89767,                 0.9475,                 1.5548,               0.007525,               0.007525,               0.007525
                     27,                 1.2053,                 1.2439,                 1.7436,                0.70651,                0.70381,                0.77009,                0.54397,                0.94643,                0.86145,                 1.5866,               0.007426,               0.007426,               0.007426
                     28,                 1.1487,                 1.0973,                 1.6624,                0.70183,                0.71642,                0.72624,                0.51817,                 1.0165,                 1.0262,                 1.6844,               0.007327,               0.007327,               0.007327
                     29,                 1.1473,                 1.0759,                 1.6489,                0.69725,                0.82639,                0.81354,                0.56872,                0.98298,                0.83969,                 1.6169,               0.007228,               0.007228,               0.007228
                     30,                 1.1111,                 1.0575,                 1.6403,                0.65006,                0.78669,                0.81886,                0.57609,                0.92216,                0.75648,                 1.5508,               0.007129,               0.007129,               0.007129
                     31,                 1.1152,                 1.0772,                 1.6189,                0.60653,                0.77874,                0.73486,                0.50927,                0.88372,                0.86328,                 1.4857,                0.00703,                0.00703,                0.00703
                     32,                 1.0934,                 1.0225,                  1.619,                0.74628,                0.74356,                 0.7741,                0.55426,                0.84952,                0.71272,                 1.4704,               0.006931,               0.006931,               0.006931
                     33,                  1.048,                0.98679,                 1.5739,                0.83932,                0.70075,                 0.8109,                0.58786,                0.84905,                0.74676,                 1.4575,               0.006832,               0.006832,               0.006832
                     34,                  1.064,                0.97932,                 1.5347,                0.72139,                 0.5432,                0.74674,                0.48638,                 1.0535,                 1.0443,                  1.694,               0.006733,               0.006733,               0.006733
                     35,                 1.0126,                0.93422,                 1.5132,                0.63643,                0.82564,                 0.8278,                0.60241,                0.85931,                0.73335,                 1.4562,               0.006634,               0.006634,               0.006634
                     36,                 1.0232,                0.93714,                 1.5161,                0.88062,                0.69151,                0.79525,                0.59055,                0.79826,                0.73555,                 1.4244,               0.006535,               0.006535,               0.006535
                     37,                 1.0139,                0.95865,                 1.5095,                0.64289,                0.78074,                0.79751,                0.57793,                0.87837,                0.75083,                 1.4664,               0.006436,               0.006436,               0.006436
                     38,                0.98877,                0.91488,                 1.4807,                0.64746,                0.76018,                0.77379,                0.58935,                0.79517,                0.67709,                 1.3966,               0.006337,               0.006337,               0.006337
                     39,                0.97282,                 0.8678,                 1.4768,                0.77452,                0.74146,                0.77828,                0.59053,                0.81697,                0.73472,                 1.4211,               0.006238,               0.006238,               0.006238
